Position,Track Name,Artist,Streams,URL,date,region
1,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,15135,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-01,Panama
2,MIA (feat. Drake),Bad Bunny,15073,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-01,Panama
3,Calma - Remix,Pedro Capó,14802,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-01,Panama
4,Ella Quiere Beber - Remix,Anuel AA,14482,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-01,Panama
5,Adan y Eva,Paulo Londra,12909,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-01,Panama
6,Vaina Loca,Ozuna,12111,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-01,Panama
7,Adictiva,Daddy Yankee,11895,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019-01-01,Panama
8,Solo de Mi,Bad Bunny,11477,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019-01-01,Panama
9,Lollipop,Boza,11450,https://open.spotify.com/track/4AFdUHHDslEOgQOzGjIJwJ,2019-01-01,Panama
10,Bubalu,Becky G,11227,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-01,Panama
11,Ibiza,Ozuna,9872,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp,2019-01-01,Panama
12,Desconocidos,Mau y Ricky,9395,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-01,Panama
13,Me Gustaría,Justin Quiles,8849,https://open.spotify.com/track/2EH0nzeRDSiYpjqBfHnX9r,2019-01-01,Panama
14,Ni Gucci Ni Prada,Kenny Man,8510,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ,2019-01-01,Panama
15,Culpables,KAROL G,8362,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,2019-01-01,Panama
16,Imposible,Luis Fonsi,8342,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019-01-01,Panama
17,BEBE,6ix9ine,7849,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019-01-01,Panama
18,Asesina - Remix,Brytiago,7479,https://open.spotify.com/track/59PYgzOiOjGDzjDT5N5oOX,2019-01-01,Panama
19,Amanece,Anuel AA,7428,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019-01-01,Panama
20,Cuando Te Besé,Becky G,7112,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-01,Panama
1,Calma - Remix,Pedro Capó,13534,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-02,Panama
