Position,Track Name,Artist,Streams,URL,date,region
1,Calma - Remix,Pedro Capó,39632,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-01,Costa Rica
2,Adan y Eva,Paulo Londra,30209,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-01,Costa Rica
3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,27463,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-01,Costa Rica
4,MIA (feat. Drake),Bad Bunny,22989,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-01,Costa Rica
5,Desconocidos,Mau y Ricky,20115,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-01,Costa Rica
6,Ella Quiere Beber - Remix,Anuel AA,19866,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-01,Costa Rica
7,Vaina Loca,Ozuna,18820,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-01,Costa Rica
8,Cuando Te Besé,Becky G,15124,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-01,Costa Rica
9,Bubalu,Becky G,13476,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-01,Costa Rica
10,Ibiza,Ozuna,12973,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp,2019-01-01,Costa Rica
1,Calma - Remix,Pedro Capó,36212,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-02,Costa Rica
2,Adan y Eva,Paulo Londra,28936,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-02,Costa Rica
3,MIA (feat. Drake),Bad Bunny,20339,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-02,Costa Rica
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,20242,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-02,Costa Rica
5,Desconocidos,Mau y Ricky,19527,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-02,Costa Rica
6,Ella Quiere Beber - Remix,Anuel AA,16480,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-02,Costa Rica
7,Vaina Loca,Ozuna,15428,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-02,Costa Rica
8,Bubalu,Becky G,13950,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-02,Costa Rica
9,Cuando Te Besé,Becky G,13588,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-02,Costa Rica
10,Ibiza,Ozuna,12100,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp,2019-01-02,Costa Rica
1,Calma - Remix,Pedro Capó,36612,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-03,Costa Rica
2,Adan y Eva,Paulo Londra,28854,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-03,Costa Rica
3,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,20617,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-03,Costa Rica
4,MIA (feat. Drake),Bad Bunny,20521,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-03,Costa Rica
5,Desconocidos,Mau y Ricky,20089,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-03,Costa Rica
6,Ella Quiere Beber - Remix,Anuel AA,16552,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-03,Costa Rica
7,Vaina Loca,Ozuna,15527,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-03,Costa Rica
8,Bubalu,Becky G,14135,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-03,Costa Rica
9,Cuando Te Besé,Becky G,13755,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-03,Costa Rica
10,Ni Gucci Ni Prada,Kenny Man,12260,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ,2019-01-03,Costa Rica
1,Calma - Remix,Pedro Capó,37840,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-04,Costa Rica
2,Adan y Eva,Paulo Londra,30098,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-04,Costa Rica
3,Desconocidos,Mau y Ricky,21855,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-04,Costa Rica
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,21488,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-04,Costa Rica
5,MIA (feat. Drake),Bad Bunny,21371,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-04,Costa Rica
6,Ella Quiere Beber - Remix,Anuel AA,17279,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-04,Costa Rica
7,Vaina Loca,Ozuna,16374,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-04,Costa Rica
8,Bubalu,Becky G,14593,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-04,Costa Rica
9,Cuando Te Besé,Becky G,14316,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-04,Costa Rica
10,Puntos Suspensivos,Piso 21,13027,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,2019-01-04,Costa Rica
1,Calma - Remix,Pedro Capó,38323,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-05,Costa Rica
2,Adan y Eva,Paulo Londra,30394,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-05,Costa Rica
3,Desconocidos,Mau y Ricky,22054,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-05,Costa Rica
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,21215,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-05,Costa Rica
5,MIA (feat. Drake),Bad Bunny,21163,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-05,Costa Rica
6,Ella Quiere Beber - Remix,Anuel AA,17693,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-05,Costa Rica
7,Vaina Loca,Ozuna,16125,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-05,Costa Rica
8,Bubalu,Becky G,14749,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-05,Costa Rica
9,Cuando Te Besé,Becky G,14451,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-05,Costa Rica
10,Ni Gucci Ni Prada,Kenny Man,13050,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ,2019-01-05,Costa Rica
1,Calma - Remix,Pedro Capó,34477,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-06,Costa Rica
2,Adan y Eva,Paulo Londra,27167,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-06,Costa Rica
3,Desconocidos,Mau y Ricky,19942,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-06,Costa Rica
4,MIA (feat. Drake),Bad Bunny,19024,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-06,Costa Rica
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,19008,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-06,Costa Rica
6,Ella Quiere Beber - Remix,Anuel AA,15899,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-06,Costa Rica
7,Vaina Loca,Ozuna,14341,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-06,Costa Rica
8,Bubalu,Becky G,13919,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-06,Costa Rica
9,Cuando Te Besé,Becky G,12936,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-06,Costa Rica
10,Puntos Suspensivos,Piso 21,11978,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,2019-01-06,Costa Rica
1,Calma - Remix,Pedro Capó,36192,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-07,Costa Rica
2,Adan y Eva,Paulo Londra,29427,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-07,Costa Rica
3,Desconocidos,Mau y Ricky,22493,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-07,Costa Rica
4,MIA (feat. Drake),Bad Bunny,20205,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-07,Costa Rica
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,19493,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-07,Costa Rica
6,Ella Quiere Beber - Remix,Anuel AA,16477,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-07,Costa Rica
7,Vaina Loca,Ozuna,15010,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-07,Costa Rica
8,Bubalu,Becky G,14981,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-07,Costa Rica
9,Cuando Te Besé,Becky G,13709,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-07,Costa Rica
10,Puntos Suspensivos,Piso 21,13156,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,2019-01-07,Costa Rica
1,Calma - Remix,Pedro Capó,37829,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-08,Costa Rica
2,Adan y Eva,Paulo Londra,30759,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-08,Costa Rica
3,Desconocidos,Mau y Ricky,23962,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-08,Costa Rica
4,MIA (feat. Drake),Bad Bunny,20970,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-08,Costa Rica
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,20321,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-08,Costa Rica
6,Ella Quiere Beber - Remix,Anuel AA,17643,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-08,Costa Rica
7,Vaina Loca,Ozuna,16047,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-08,Costa Rica
8,Bubalu,Becky G,15555,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-08,Costa Rica
9,Cuando Te Besé,Becky G,14403,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-08,Costa Rica
10,Puntos Suspensivos,Piso 21,13769,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,2019-01-08,Costa Rica
1,Calma - Remix,Pedro Capó,37064,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-09,Costa Rica
2,Adan y Eva,Paulo Londra,29889,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-09,Costa Rica
3,Desconocidos,Mau y Ricky,24131,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-09,Costa Rica
4,MIA (feat. Drake),Bad Bunny,20571,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-09,Costa Rica
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,19830,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-09,Costa Rica
6,Ella Quiere Beber - Remix,Anuel AA,17350,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-09,Costa Rica
7,Vaina Loca,Ozuna,16193,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-09,Costa Rica
8,Bubalu,Becky G,15646,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-09,Costa Rica
9,Cuando Te Besé,Becky G,14493,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-09,Costa Rica
10,Puntos Suspensivos,Piso 21,13976,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,2019-01-09,Costa Rica
1,Calma - Remix,Pedro Capó,37401,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-10,Costa Rica
2,Adan y Eva,Paulo Londra,30233,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-10,Costa Rica
3,Desconocidos,Mau y Ricky,26253,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-10,Costa Rica
4,MIA (feat. Drake),Bad Bunny,21235,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-10,Costa Rica
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,20372,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-10,Costa Rica
6,Ella Quiere Beber - Remix,Anuel AA,17536,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-10,Costa Rica
7,Vaina Loca,Ozuna,16884,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-10,Costa Rica
8,Bubalu,Becky G,15606,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-10,Costa Rica
9,Cuando Te Besé,Becky G,14910,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-10,Costa Rica
10,Puntos Suspensivos,Piso 21,14147,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,2019-01-10,Costa Rica
1,Calma - Remix,Pedro Capó,38263,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-11,Costa Rica
2,Adan y Eva,Paulo Londra,31261,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-11,Costa Rica
3,Desconocidos,Mau y Ricky,27570,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-11,Costa Rica
4,MIA (feat. Drake),Bad Bunny,21591,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-11,Costa Rica
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,20632,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-11,Costa Rica
6,Ella Quiere Beber - Remix,Anuel AA,18331,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-11,Costa Rica
7,Vaina Loca,Ozuna,16874,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-11,Costa Rica
8,Bubalu,Becky G,16212,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-11,Costa Rica
9,Cuando Te Besé,Becky G,15239,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-11,Costa Rica
10,Sola,Manuel Turizo,14610,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN,2019-01-11,Costa Rica
1,Calma - Remix,Pedro Capó,39737,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-12,Costa Rica
2,Adan y Eva,Paulo Londra,31924,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-12,Costa Rica
3,Desconocidos,Mau y Ricky,27434,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-12,Costa Rica
4,MIA (feat. Drake),Bad Bunny,22006,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-12,Costa Rica
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,21263,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-12,Costa Rica
6,Ella Quiere Beber - Remix,Anuel AA,18819,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-12,Costa Rica
7,Bubalu,Becky G,17016,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-12,Costa Rica
8,Vaina Loca,Ozuna,16444,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-12,Costa Rica
9,Cuando Te Besé,Becky G,15999,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-12,Costa Rica
10,Ni Gucci Ni Prada,Kenny Man,15074,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ,2019-01-12,Costa Rica
1,Calma - Remix,Pedro Capó,34025,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-13,Costa Rica
2,Adan y Eva,Paulo Londra,27704,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-13,Costa Rica
3,Desconocidos,Mau y Ricky,22780,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-13,Costa Rica
4,MIA (feat. Drake),Bad Bunny,18315,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-13,Costa Rica
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,18056,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-13,Costa Rica
6,Ella Quiere Beber - Remix,Anuel AA,16071,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-13,Costa Rica
7,Bubalu,Becky G,14389,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-13,Costa Rica
8,Vaina Loca,Ozuna,13750,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-13,Costa Rica
9,Cuando Te Besé,Becky G,13482,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-13,Costa Rica
10,Ni Gucci Ni Prada,Kenny Man,12690,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ,2019-01-13,Costa Rica
1,Calma - Remix,Pedro Capó,35152,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-14,Costa Rica
2,Adan y Eva,Paulo Londra,29490,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-14,Costa Rica
3,Desconocidos,Mau y Ricky,24893,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-14,Costa Rica
4,MIA (feat. Drake),Bad Bunny,19983,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-14,Costa Rica
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,18488,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-14,Costa Rica
6,Ella Quiere Beber - Remix,Anuel AA,16475,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-14,Costa Rica
7,Bubalu,Becky G,15866,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-14,Costa Rica
8,Vaina Loca,Ozuna,14508,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-14,Costa Rica
9,Cuando Te Besé,Becky G,14405,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-14,Costa Rica
10,Ni Gucci Ni Prada,Kenny Man,14112,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ,2019-01-14,Costa Rica
1,Calma - Remix,Pedro Capó,36073,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-15,Costa Rica
2,Adan y Eva,Paulo Londra,30539,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-15,Costa Rica
3,Desconocidos,Mau y Ricky,25987,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-15,Costa Rica
4,MIA (feat. Drake),Bad Bunny,20581,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-15,Costa Rica
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,19308,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-15,Costa Rica
6,Ella Quiere Beber - Remix,Anuel AA,17507,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-15,Costa Rica
7,Bubalu,Becky G,16288,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-15,Costa Rica
8,Vaina Loca,Ozuna,15002,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-15,Costa Rica
9,Cuando Te Besé,Becky G,14793,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-15,Costa Rica
10,Sola,Manuel Turizo,14447,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN,2019-01-15,Costa Rica
1,Calma - Remix,Pedro Capó,35871,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-16,Costa Rica
2,Adan y Eva,Paulo Londra,30488,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-16,Costa Rica
3,Desconocidos,Mau y Ricky,26480,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-16,Costa Rica
4,MIA (feat. Drake),Bad Bunny,21117,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-16,Costa Rica
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,19039,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-16,Costa Rica
6,Ella Quiere Beber - Remix,Anuel AA,18059,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-16,Costa Rica
7,Bubalu,Becky G,16794,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-16,Costa Rica
8,Secreto,Anuel AA,15113,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019-01-16,Costa Rica
9,Sola,Manuel Turizo,14712,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN,2019-01-16,Costa Rica
10,Cuando Te Besé,Becky G,14528,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-16,Costa Rica
1,Calma - Remix,Pedro Capó,36033,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-17,Costa Rica
2,Adan y Eva,Paulo Londra,30498,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-17,Costa Rica
3,Desconocidos,Mau y Ricky,27119,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-17,Costa Rica
4,MIA (feat. Drake),Bad Bunny,20970,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-17,Costa Rica
5,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,19498,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-17,Costa Rica
6,Ella Quiere Beber - Remix,Anuel AA,18302,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-17,Costa Rica
7,Secreto,Anuel AA,16729,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019-01-17,Costa Rica
8,Bubalu,Becky G,16686,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-17,Costa Rica
9,Cuando Te Besé,Becky G,14684,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019-01-17,Costa Rica
10,Sola,Manuel Turizo,14669,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN,2019-01-17,Costa Rica
1,Calma - Remix,Pedro Capó,38054,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-18,Costa Rica
2,Adan y Eva,Paulo Londra,31742,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-18,Costa Rica
3,Desconocidos,Mau y Ricky,27904,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-18,Costa Rica
4,Secreto,Anuel AA,22286,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019-01-18,Costa Rica
5,MIA (feat. Drake),Bad Bunny,21992,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-18,Costa Rica
6,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,20282,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-18,Costa Rica
7,7 rings,Ariana Grande,19041,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019-01-18,Costa Rica
8,Ella Quiere Beber - Remix,Anuel AA,18616,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-18,Costa Rica
9,Bubalu,Becky G,17113,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-18,Costa Rica
10,Sola,Manuel Turizo,15377,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN,2019-01-18,Costa Rica
1,Calma - Remix,Pedro Capó,39550,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-19,Costa Rica
2,Adan y Eva,Paulo Londra,32498,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-19,Costa Rica
3,Desconocidos,Mau y Ricky,28208,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-19,Costa Rica
4,Secreto,Anuel AA,23622,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019-01-19,Costa Rica
5,MIA (feat. Drake),Bad Bunny,22546,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-19,Costa Rica
6,7 rings,Ariana Grande,22283,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019-01-19,Costa Rica
7,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,21365,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019-01-19,Costa Rica
8,Ella Quiere Beber - Remix,Anuel AA,18603,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019-01-19,Costa Rica
9,Bubalu,Becky G,17463,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019-01-19,Costa Rica
10,Vaina Loca,Ozuna,16297,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019-01-19,Costa Rica
1,Calma - Remix,Pedro Capó,33512,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-01-20,Costa Rica
2,Adan y Eva,Paulo Londra,27195,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019-01-20,Costa Rica
3,Desconocidos,Mau y Ricky,23602,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019-01-20,Costa Rica
4,Secreto,Anuel AA,20191,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019-01-20,Costa Rica
5,7 rings,Ariana Grande,19351,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019-01-20,Costa Rica
6,MIA (feat. Drake),Bad Bunny,18887,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019-01-20,Costa Rica
